XYDATA,CdSe--5
300.0000,7
301.0000,7
302.0000,7
303.0000,7
304.0000,7
305.0000,7
306.0000,7
307.0000,7
308.0000,7
309.0000,7
310.0000,7
311.0000,7
312.0000,7
313.0000,7
314.0000,7
315.0000,7
316.0000,7
317.0000,7
318.0000,7
319.0000,7
320.0000,7
321.0000,7
322.0000,7
323.0000,7
324.0000,7
325.0000,7
326.0000,7
327.0000,7
328.0000,7
329.0000,7
330.0000,7
331.0000,7
332.0000,7
333.0000,7
334.0000,7
335.0000,7
336.0000,7
337.0000,7
338.0000,7
339.0000,7
340.0000,7
341.0000,7
342.0000,7
343.0000,7
344.0000,7
345.0000,7
346.0000,7
347.0000,7
348.0000,7
349.0000,7
350.0000,7
351.0000,7
352.0000,7
353.0000,7
354.0000,7
355.0000,4.74316
356.0000,4.28424
357.0000,3.99353
358.0000,3.82251
359.0000,3.67162
360.0000,3.53466
361.0000,3.4233
362.0000,3.33238
363.0000,3.24961
364.0000,3.16783
365.0000,3.08821
366.0000,3.01071
367.0000,2.942
368.0000,2.87009
369.0000,2.8105
370.0000,2.74842
371.0000,2.65979
372.0000,2.60262
373.0000,2.54876
374.0000,2.49695
375.0000,2.44642
376.0000,2.39763
377.0000,2.35065
378.0000,2.30428
379.0000,2.25865
380.0000,2.21591
381.0000,2.17336
382.0000,2.13206
383.0000,2.09274
384.0000,2.05557
385.0000,2.02053
386.0000,1.98585
387.0000,1.95307
388.0000,1.92242
389.0000,1.89257
390.0000,1.86377
391.0000,1.83607
392.0000,1.80958
393.0000,1.78317
394.0000,1.75733
395.0000,1.73238
396.0000,1.70687
397.0000,1.68195
398.0000,1.65722
399.0000,1.63213
400.0000,1.60765
401.0000,1.58263
402.0000,1.55771
403.0000,1.53275
404.0000,1.50737
405.0000,1.48177
406.0000,1.45627
407.0000,1.43005
408.0000,1.40303
409.0000,1.37542
410.0000,1.34769
411.0000,1.31954
412.0000,1.29124
413.0000,1.26288
414.0000,1.23493
415.0000,1.20686
416.0000,1.17877
417.0000,1.15154
418.0000,1.12446
419.0000,1.09791
420.0000,1.07165
421.0000,1.04419
422.0000,1.01927
423.0000,0.995024
424.0000,0.971672
425.0000,0.948805
426.0000,0.926754
427.0000,0.905466
428.0000,0.884691
429.0000,0.864503
430.0000,0.845104
431.0000,0.826679
432.0000,0.808697
433.0000,0.791298
434.0000,0.774467
435.0000,0.758168
436.0000,0.742399
437.0000,0.727229
438.0000,0.712726
439.0000,0.698588
440.0000,0.684904
