TITLE,CdSe-
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,23/10/18
TIME,15:16:01
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  700.0000
LASTX,  300.0000
NPOINTS,     401
FIRSTY,     0.01549
MAXY,     7.00000
MINY,     0.01549
XYDATA
700.0000,0.0154927
699.0000,0.0156618
698.0000,0.0155881
697.0000,0.0156174
696.0000,0.015747
695.0000,0.0156801
694.0000,0.0157357
693.0000,0.0157811
692.0000,0.0158324
691.0000,0.0158326
690.0000,0.0159303
689.0000,0.0159182
688.0000,0.0159522
687.0000,0.0160172
686.0000,0.0161089
685.0000,0.0161488
684.0000,0.0162607
683.0000,0.016309
682.0000,0.0162183
681.0000,0.0163693
680.0000,0.0164026
679.0000,0.0164651
678.0000,0.0165711
677.0000,0.0166287
676.0000,0.0166819
675.0000,0.0168753
674.0000,0.016998
673.0000,0.0170944
672.0000,0.0172297
671.0000,0.017411
670.0000,0.0175163
669.0000,0.0175625
668.0000,0.0174898
667.0000,0.0174238
666.0000,0.01739
665.0000,0.0172962
664.0000,0.0172857
663.0000,0.0172124
662.0000,0.0171871
661.0000,0.0171726
660.0000,0.0172005
659.0000,0.0171256
658.0000,0.017097
657.0000,0.0171716
656.0000,0.017204
655.0000,0.0170658
654.0000,0.0171118
653.0000,0.017237
652.0000,0.017365
651.0000,0.0173846
650.0000,0.0174363
649.0000,0.0174885
648.0000,0.0175353
647.0000,0.0174268
646.0000,0.0176098
645.0000,0.0177166
644.0000,0.0178564
643.0000,0.0177881
642.0000,0.0179592
641.0000,0.0179787
640.0000,0.0181348
639.0000,0.0182018
638.0000,0.0182666
637.0000,0.0182418
636.0000,0.0183033
635.0000,0.018466
634.0000,0.0185104
633.0000,0.0185635
632.0000,0.0186448
631.0000,0.0187416
630.0000,0.0187136
629.0000,0.0188047
628.0000,0.0189248
627.0000,0.0189341
626.0000,0.0190116
625.0000,0.0191358
624.0000,0.0192428
623.0000,0.0194128
622.0000,0.019495
621.0000,0.0195969
620.0000,0.0197017
619.0000,0.0198386
618.0000,0.0199115
617.0000,0.0199796
616.0000,0.0201525
615.0000,0.0202297
614.0000,0.0203692
613.0000,0.0205127
612.0000,0.0206337
611.0000,0.0207709
610.0000,0.0208503
609.0000,0.0210837
608.0000,0.0212234
607.0000,0.0213803
606.0000,0.0215693
605.0000,0.0217111
604.0000,0.0218887
603.0000,0.0220964
602.0000,0.0223229
601.0000,0.022518
600.0000,0.0227714
599.0000,0.0230313
598.0000,0.0231295
597.0000,0.0234524
596.0000,0.0237388
595.0000,0.0240829
594.0000,0.0244727
593.0000,0.0247776
592.0000,0.0252145
591.0000,0.025624
590.0000,0.0261746
